sci_name_norm,sci_name,common_name_en,toxic_to_dogs,toxic_to_cats,toxic_to_horses,clinical_signs,toxic_principles,additional_common_names,detail_url
abronia fragrans,Abronia fragrans,Sand Verbena,false,false,false,,Non-toxic,"Fragrant sand-verbena, snowball sand-verbena, prairie snowball",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sand-verbena
abrus precatorius,Abrus precatorius,Rosary Pea,true,true,true,"Severe vomiting and diarrhea (sometimes bloody), tremors, high heart rate, fever, shock, death. Seeds are very toxic (seed coat must be broken).",Abrin (lectin or a toxalbumin) and abric acid (a glycoside),,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rosary-pea
acalypha godseffiana,Acalypha godseffiana,Copperleaf,true,true,true,"Drooling, vomiting, and diarrhea",Diterpene esters,"Firestorm, match-me-if-you-can",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/copperleaf
acalypha hispida,Acalypha hispida,Foxtail,true,true,true,"Drooling, vomiting, diarrhea",Diterpene esters,"Bristly copperleaf, chenille, red hot cat's tail, red cattail, cat's tail",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/foxtail
acantha,Acantha,Measles Plant,false,false,false,"Mild vomiting, diarrhea.",Unknown,"Polka Dot Plant, Flamingo Plant, Baby’s Tears, Freckle Face",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/measles-plant
acer ginnala,Acer ginnala,Amur Maple,false,false,,"Some other maples can cause destruction of red blood cells in horses, it is unknown if these species is toxic.",Unknown,"Maple, Amur",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/amur-maple
acer rubrum,Acer rubrum,Carolina Maple,false,false,true,"Destruction of red blood cells (anemia), weakness, dark urine, difficulty breathing, abortion, death. Wilted leaves are most toxic.",Pyrogallol,"Swamp Maple, Scarlet Maple, Red Maple, Curled Maple, Acer Sanguineum, Soft Maple, Rufacer Rubrum",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/carolina-maple
achillea millefolium,Achillea millefolium,Dog Daisy,true,true,true,"Increased urination, vomiting, diarrhea, dermatitis.",Achilleine and alkaloids.,Dog Fennel,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dog-daisy
adenium obesum,Adenium obesum,Desert Azalea,true,true,true,"Vomiting, diarrhea, anorexia, depression, irregular heart beat, death",Cardiac glycosides,"Desert Rose, Mock Azalea, Sabi Star, Impala Lily, Kudu Lily",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/desert-azalea
adonidia merrillii,Adonidia merrillii,Christmas Palm,false,false,false,,,Manila Palm,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/christmas-palm
aeschynanthus humilis,Aeschynanthus humilis,Lipstick Plant,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lipstick-plant
aesculus,Aesculus spp,Buckeye,true,true,true,"Severe vomiting and diarrhea, depression or excitement, dilated pupils, coma, convulsions, wobbly","Aesculin (a glycosidic saponin), other saponins",Horse Chestnut,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/buckeye
aesculus glabra,Aesculus glabra,Horse Chestnut,true,true,true,"Severe vomiting and diarrhea, depression or excitement, dilated pupils, weakness, unsteadiness, depression, seizures, coma","Aesculin (a glycosidic saponin), other saponins","Buckeye, Ohio Buckeye, Fetid Buckeye",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/horse-chestnut
ageratina altissima,Ageratina altissima,White Snakeroot,,,true,"All species - Weakness, stiffness, tremors, collapse; Horses - heart damage, swallowing difficulty; Goats - liver failure and dermatitis",Trematol,"Richweed, White sanicle",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/white-snakeroot
aglaonema modestum,Aglaonema modestum,Chinese Evergreen,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chinese-evergreen
albiflora,Albiflora spp.,Giant White Inch Plant,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/giant-white-inch-plant
alcea rosea,Alcea rosea,Hollyhock,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hollyhock
allium ampeloprasum,Allium ampeloprasum,Leek,true,true,true,"Vomiting, breakdown of red blood cells (hemolytic anemia, Heinz body anemia), blood in urine, weakness, high heart rate, panting",N-propyl disulfide,Elephant Garlic,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/leek
allium cepa,Allium cepa,Onion,true,true,true,"Vomiting, breakdown of red blood cells (hemolytic anemia, Heinz body anemia), blood in urine, weakness, high heart rate, panting",N-propyl disulfide,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/onion
allium sativum,Allium sativum,Garlic,true,true,true,"Vomiting, breakdown of red blood cells (hemolytic anemia, Heinz body anemia), blood in urine, weakness, high heart rate, panting",N-propyl disulfide,"Stinking Rose, Rustic Treacle, Camphor of the Poor, Nectar of the Gods, Serpent Garlic, Rocambole",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/garlic
allium schoenoprasum,Allium schoenoprasum,Chives,true,true,true,"Vomiting, breakdown of red blood cells (hemolytic anemia, Heinz body anemia), blood in urine, weakness, high heart rate, panting.",N-propyl disulfide,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chives
alocasia,Alocasia spp.,Alocasia,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,Elephant's Ear,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/alocasia
aloe barbadensis,Aloe barbadensis,Barbados Aloe,true,true,true,"Vomiting (not horses), lethargy, diarrhea. The gel is considered edible.","Saponins, anthraquinones","Medicine Plant, True Aloe",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/barbados-aloe
aloe retusa,Aloe retusa,Cushion Aloe,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cushion-aloe
aloe vera,Aloe vera,Aloe,true,true,true,"Vomiting (not horses), lethargy, diarrhea. The gel is considered edible.","Saponins, anthraquinones",,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/aloe
aloysia triphylla,Aloysia triphylla,Lemon Verbena,true,true,true,"Stomach upset, colic. No concerns if small amounts used in cooking or as flavoring agent.",Essential oils,Lemon Beebrush,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lemon-verbena
alstroemeria,Alstroemeria,Peruvian Lily,false,false,false,,,"Lily of the Incas, Princess Lily, Alstromeria",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/peruvian-lily
alyssum,Alyssum spp.,Alyssum,false,false,false,,,Alyssum varieties,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/alyssum
amaranthus hypochondriacus,Amaranthus hypochondriacus,Cocks Comb,false,false,false,,,"Pile Wort, Lady Bleeding, Red Cocks Comb",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cocks-comb
amaryllis,Amaryllis spp.,Amaryllis,true,true,true,"Vomiting (not horses), depression, diarrhea, abdominal pain, hypersalivation, anorexia, tremors.",Lycorine and others,"Many, including: Belladonna lily, Saint Joseph lily, Cape Belladonna, Naked Lady",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/amaryllis
ambrosia mexicana,Ambrosia mexicana,Feather Geranium,true,true,,"Vomiting, anorexia, depression",Sesquiterpene lactones,"Jerusalem Oak, Ambrosia Mexicana",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/feather-geranium
ammi majus,Ammi majus,Bishop’s Weed,true,true,true,"Photosensitization (sunburn, dermatitis)",Insoluble calcium oxalates,"Greater Ammi, False Queen Anne's Lace",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bishops-weed
amsinckia,Amsinckia spp.,Fiddleneck,,,true,Horses: liver disease (must be ingested in large amount or over a long time period),Pyrrolizidine alkaloids,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fiddleneck
anethum graveolena,Anethum graveolena,Dill,false,false,false,Dermatitis with prolonged contact,Essential oils,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dill
anoectuchilus setaceus,Anoectuchilus setaceus,King of the Forest,false,false,,,Non-toxic,Golden Jewel Orchid,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/king-forest
anthemis cotula,Anthemis cotula,Mayweed,true,true,true,"Contact dermatitis, vomiting, diarrhea, anorexia, allergic reactions. Long term use can lead to bleeding tendencies.","Volatile oil; bisabolol, chamazulene, anthemic acid, tannic acid","Poison Daisy, Stinking Chamomile",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mayweed
anthemis nobilis,Anthemis nobilis,Chamomile,true,true,true,"Contact dermatitis, vomiting, diarrhea, anorexia, allergic reactions. Long term use can lead to bleeding tendencies.","Volatile oil; bisabolol, chamazulene, anthemic acid, tannic acid","Manzanilla, Garden Chamomile, Roman Chamomile, True Chamomile, Corn Feverfew, Barnyard Daisy, Ground-apple, Turkey-weed",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chamomile
anthericum comosum,Anthericum comosum,Chlorophytum,false,false,false,,Non-toxic,"Ribbon Plant, Spider Ivy, Spider Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chlorophytum
anthericum liliago,Anthericum liliago,Saint Bernards Lily,false,false,,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/saint-bernards-lily
anthirrhinum multiflorum,Anthirrhinum multiflorum,Withered Snapdragon,false,false,,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/withered-snapdragon
anthriscus cerefolium,Anthriscus cerefolium,Chervil,false,false,false,,,"Garden Chervil, French Parsley",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chervil
anthurium scherzeranum,Anthurium scherzeranum,Flamingo Flower,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Flamingo Lily, Tail Flower, Oilcloth Flower, Pigtail Plant, Painter's Pallet",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/flamingo-flower
antirrhinum majus,Antirrhinum majus,Common Snapdragon,false,false,false,,,Garden Snapdragon,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/common-snapdragon
antirrhinum multiflorum,Antirrhinum multiflorum,Antirrhinum Multiflorum,false,false,false,,,Withered Snapdragon,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/antirrhinum-multiflorum
antirrhinum orontium,Antirrhinum orontium,Lesser Snapdragon,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lesser-snapdragon
aphelandra squarrosa,Aphelandra squarrosa,Saffron Spike Zebra,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/saffron-spike-zebra
apocynum,Apocynum spp.,Dogbane Hemp,true,true,true,"Diarrhea (possibly with blood), slow heart rate, weakness",Cardenolides,"Bitterroot, Indian Hemp",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dogbane-hemp
apocynum androsaemifolium,Apocynum androsaemifolium,Bitter Root,true,true,true,"Diarrhea (possibly with blood), slow heart rate, weakness",Cardenolides,"Dogbane Hemp, Indian Hemp",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bitter-root
aralia spinosa,Aralia spinosa,Angelica Tree,true,true,true,"Skin and oral irritation, hypersalivation, vomiting, diarrhea",Araliin,"Hercules' Club, Devil's Walking Stick, Prickly Ash, Prickly Elder",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/angelica-tree
araucaria heterophylla,Araucaria heterophylla,Australian Pine,false,false,false,,Non-toxic,"Norfolk Pine, House Pine, Norfolk Island Pine",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/australian-pine
arctotis stoechadifolia,Arctotis stoechadifolia,Blue Eyed Daisy,false,false,false,,Non-toxic,Blue-eyed African Daisy,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-eyed-daisy
arisaema triphyllum,Arisaema triphyllum,Jack-in-the-pulpit,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Three-leaved indian turnip, Devil's dear, Wake robin, Starch wort, Wild turnip, Dragon root, Bog onion, Pepper turnip, Brown dragon, Memory root",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/jack-pulpit
artemisia dracunculus,Artemisia dracunculus,Tarragon,true,true,true,Mild vomiting and diarrhea,Essential Oils,"French Tarragon, Estragon",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tarragon
arum maculatum,Arum maculatum,Adam-and-Eve,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Arum, Lord-and-Ladies, Wake Robin, Starch Root, Bobbins, Cuckoo Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/adam-and-eve
