연번,국명,학명,과국명,과명,개화기시작(월),결실기(월),보호식물여부,특산식물여부,크기
1,실새삼,Cuscuta australis R.Br.,메꽃과,Convolvulaceae,7,8,N,N,길이 50cm 내외이다.
2,갯실새삼,Cuscuta chinensis Lam.,메꽃과,Convolvulaceae,7,8,N,N,줄기의 길이가 1m에 이른다.
3,애기메꽃,Calystegia hederacea Wall.,메꽃과,Convolvulaceae,6,8,N,N,길이가 20-70cm 정도로 자란다.
4,큰메꽃,Calystegia sepium (L.) R.Br.,메꽃과,Convolvulaceae,6,8,N,N,길이가 20-70cm정도로 자란다.
5,선메꽃,Calystegia dahurica (Herb.) Choisy,메꽃과,Convolvulaceae,6,8,N,N,높이가 60cm 정도이다.
6,갯메꽃,Calystegia soldanella (L.) Roem. & Schultb.,메꽃과,Convolvulaceae,5,6,N,N,"길이는2~3cm, 폭은 3~5cm."
7,방울꽃,Strobilanthes oliganthus Miq.,쥐꼬리망초과,Acanthaceae,9,9,N,N,높이 30~60cm이다.
8,쥐꼬리망초,Justicia procumbens L.,쥐꼬리망초과,Acanthaceae,7,9,N,N,높이 30cm이다.
9,물잎풀,Hygrophila salicifolia (Vahl) Nees,쥐꼬리망초과,Acanthaceae,9,9,N,N,높이 30-60cm.
10,애기도라지,Wahlenbergia marginata (Thunb.) A.DC.,초롱꽃과,Campanulaceae,6,8,N,N,높이 20~40cm이다.
11,겹도라지,Platycodon grandiflorus var. duplex Makino,초롱꽃과,Campanulaceae,7,8,N,N,높이 40-100cm
12,도라지,Platycodon grandiflorus (Jacq.) A.DC.,초롱꽃과,Campanulaceae,7,8,N,N,높이 40~100cm
13,흰겹도라지,Platycodon grandiflorus var. duplex f. leucanthum H. Hara,초롱꽃과,Campanulaceae,7,8,N,N,높이 40-100cm
14,백도라지,Platycodon grandiflorus f. albiflorum (Honda) H. Hara,초롱꽃과,Campanulaceae,7,8,N,N,높이 40-100cm
15,홍노도라지,Peracarpa carnosa var. circaeoides (F.Schmidt ex Miq.) Makino,초롱꽃과,Campanulaceae,4,8,N,N,높이는 5-15㎝
16,수염가래꽃,Lobelia chinensis Lour.,초롱꽃과,Campanulaceae,5,8,N,N,높이는 3~15cm내외이다.
17,숫잔대,Lobelia sessilifolia Lamb.,초롱꽃과,Campanulaceae,7,8,N,N,높이가 50-100cm정도이다.
18,흰금강초롱꽃,Hanabusaya asiatica f. alba T.B.Lee,초롱꽃과,Campanulaceae,8,9,N,N,높이 30-90㎝이다.
19,검산초롱꽃,Hanabusaya latisepala Nakai,초롱꽃과,Campanulaceae,8,9,N,Y,높이는 약 70㎝정도이다.
20,금강초롱꽃,Hanabusaya asiatica (Nakai) Nakai,초롱꽃과,Campanulaceae,8,10,Y,Y,높이 30~90cm
21,푸른더덕,Codonopsis lanceolata f. emaculata (Honda) H. Hara,초롱꽃과,Campanulaceae,8,9,N,N,덩굴의 길이 2m
22,더덕,Codonopsis lanceolata (Siebold & Zucc.) Benth. & Hook.f. ex Trautv.,초롱꽃과,Campanulaceae,8,9,N,N,길이 2m 이상이다.
23,만삼,Codonopsis pilosula (Franch.) Nannf.,초롱꽃과,Campanulaceae,7,8,Y,N,줄기가 1-2m로 자란다.
24,초롱꽃,Campanula punctata Lam.,초롱꽃과,Campanulaceae,6,8,N,N,높이 40-100cm정도이다.
25,흰자주꽃방망이,Campanula glomerata f. alba Nakai ex T.B.Lee,초롱꽃과,Campanulaceae,7,8,N,N,높이 40-100cm
26,섬초롱꽃,Campanula takesimana Nakai,초롱꽃과,Campanulaceae,7,9,Y,Y,높이가 30-100cm이다.
27,자주꽃방망이,Campanula glomerata var. dahurica Fisch. ex Ker Gawl.,초롱꽃과,Campanulaceae,7,8,Y,N,높이가 40-100cm 정도이다.
28,영아자,Asyneuma japonicum (Miq.) Briq.,초롱꽃과,Campanulaceae,7,9,N,N,높이 50~100cm이다.
